Booking_ID,RoomType,FromDate,Adults,Children,Breakfast,Number of Special Requests,Airport Pickup,Weekend Nights,Weeknights,Loyalty Points,Lead time in days,Booking Type,Existing Customer,Previous Cancellations,Average Room Price
INN15961,Neptune,11/5/2018,1,0,Buffet Breakfast,1,1,0,1,4,2,Corporate,1,0,67.0
INN09874,Neptune,30/5/2018,2,0,Not Selected,0,0,1,1,0,134,Online,0,0,94.5
INN17207,Neptune,8/5/2018,2,0,Not Selected,1,0,2,1,0,131,Online,0,0,94.5
INN08768,Neptune,16/10/2018,2,0,Not Selected,1,0,1,0,0,29,Online,0,0,119.0
INN28970,Neptune,27/12/2018,1,0,Not Selected,0,0,0,1,0,1,Online,0,0,65.6
INN33895,Neptune,29/4/2018,2,0,Buffet Breakfast,0,0,2,2,0,14,Online,0,0,147.5
INN26004,Neptune,2/3/2018,2,0,Buffet Breakfast,0,0,0,2,0,3,Online,0,0,101.0
INN15157,Neptune,22/8/2017,3,0,Luxury Buffet Breakfast,1,0,2,1,0,138,Offline,0,0,138.5
INN08627,Neptune,30/9/2018,2,0,Buffet Breakfast,0,0,1,2,0,91,Offline,0,0,40.0
INN12475,Neptune,3/9/2018,1,0,Not Selected,3,0,2,3,0,49,Online,0,0,94.32
INN24617,Neptune,27/12/2018,2,0,Buffet Breakfast,0,0,0,1,0,41,Offline,0,0,65.0
INN24613,Neptune,27/3/2018,2,0,Buffet Breakfast,0,0,2,2,0,125,Offline,0,0,55.0
INN19468,Venus,18/9/2018,1,0,Buffet Breakfast,0,0,2,2,0,3,Aviation,0,0,110.0
INN26539,Neptune,31/7/2018,2,0,Buffet Breakfast,0,0,2,1,0,8,Offline,0,0,86.53
INN05766,Neptune,3/7/2018,2,0,Luxury Buffet Breakfast,0,0,2,1,0,56,Online,0,0,162.9
INN35944,Jupiter,27/5/2018,1,0,Buffet Breakfast,0,0,2,2,0,44,Corporate,0,0,135.4
INN35771,Neptune,16/10/2017,2,0,Luxury Buffet Breakfast,0,0,0,2,0,102,Offline,0,0,101.5
INN20443,Neptune,4/5/2018,2,0,Buffet Breakfast,0,0,0,3,0,123,Online,0,0,105.3
INN26167,Neptune,5/10/2018,2,0,Buffet Breakfast,1,0,1,4,0,220,Online,0,0,112.65
INN33439,Neptune,2/10/2017,1,0,Buffet Breakfast,0,0,0,2,0,164,Offline,0,0,100.0
INN03798,Neptune,27/2/2018,1,0,Buffet Breakfast,0,0,2,2,0,115,Offline,0,0,76.0
INN34950,Neptune,4/2/2018,2,0,Buffet Breakfast,0,0,0,2,0,31,Corporate,0,0,81.5
INN15021,Neptune,25/8/2018,2,0,Not Selected,0,0,0,2,0,180,Online,0,0,85.5
INN06619,Jupiter,4/12/2017,2,2,Buffet Breakfast,1,0,1,2,0,29,Online,0,0,183.67
INN23846,Neptune,5/5/2018,1,0,Buffet Breakfast,0,0,0,3,0,7,Offline,0,0,112.0
INN17878,Neptune,22/4/2018,2,0,Buffet Breakfast,0,0,1,2,0,186,Offline,0,0,40.0
INN31312,Neptune,12/1/2018,2,0,Not Selected,2,0,0,2,0,6,Online,0,0,69.5
INN18719,Neptune,3/12/2018,2,0,Buffet Breakfast,0,0,2,2,0,26,Offline,0,0,70.72
INN24583,Neptune,16/6/2018,2,0,Not Selected,0,0,1,3,0,2,Offline,0,0,72.25
INN00618,Neptune,10/7/2018,2,0,Not Selected,1,0,2,1,0,53,Online,0,0,100.5
INN14714,Neptune,17/9/2018,2,1,Buffet Breakfast,2,0,0,1,0,26,Online,0,0,159.0
INN34277,Venus,22/10/2017,2,0,Buffet Breakfast,2,0,0,2,0,37,Online,0,0,105.3
INN05478,Venus,1/11/2017,2,0,Buffet Breakfast,0,0,2,1,0,34,Offline,0,0,60.0
INN26473,Neptune,1/7/2017,2,0,Luxury Buffet Breakfast,0,0,0,2,0,257,Offline,0,0,101.5
INN25416,Neptune,18/6/2018,2,0,Buffet Breakfast,1,1,1,1,0,77,Online,0,0,125.1
INN12211,Neptune,21/10/2018,2,0,Buffet Breakfast,0,0,0,2,0,155,Offline,0,0,89.76
INN36144,Neptune,8/12/2018,2,0,Not Selected,1,0,0,3,0,81,Online,0,0,79.2
INN33947,Saturn,12/7/2018,2,0,Buffet Breakfast,1,1,0,4,0,215,Online,0,0,91.13
INN23186,Neptune,4/3/2018,2,0,Buffet Breakfast,1,0,1,2,0,73,Online,0,0,62.29
INN15253,Neptune,31/1/2018,1,0,Buffet Breakfast,0,0,2,0,0,13,Corporate,0,0,80.0
INN17544,Neptune,13/10/2018,2,0,Buffet Breakfast,2,0,2,3,0,248,Online,0,0,83.38
INN33820,Neptune,28/8/2018,2,0,Buffet Breakfast,1,0,1,0,0,4,Online,0,0,139.0
INN16396,Neptune,13/2/2018,2,0,Buffet Breakfast,1,0,2,1,0,19,Online,0,0,66.57
INN28054,Neptune,31/8/2018,2,0,Not Selected,0,0,0,4,0,234,Online,0,0,80.75
INN01047,Neptune,10/12/2017,1,0,Luxury Buffet Breakfast,0,0,0,2,0,6,Online,0,0,0.0
INN18554,Neptune,21/7/2018,2,0,Luxury Buffet Breakfast,0,0,0,2,0,292,Offline,0,0,115.0
INN04709,Neptune,3/4/2018,2,0,Buffet Breakfast,1,0,2,1,0,118,Online,0,0,87.3
INN01034,Neptune,26/6/2018,2,0,Buffet Breakfast,1,0,1,0,0,77,Online,0,0,105.3
INN02718,Neptune,19/8/2018,2,0,Not Selected,3,0,0,2,0,13,Online,0,0,128.5
INN26646,Saturn,14/6/2018,2,0,Not Selected,0,0,0,2,0,103,Online,0,0,116.1
INN04746,Saturn,5/11/2017,2,0,Buffet Breakfast,1,0,0,2,0,47,Online,0,0,105.5
INN04865,Neptune,28/11/2018,1,0,Buffet Breakfast,2,0,1,2,53,2,Corporate,1,5,65.0
INN30621,Neptune,10/12/2018,2,0,Not Selected,2,0,1,1,0,55,Online,0,0,79.2
INN06337,Mercury,22/8/2018,3,0,Buffet Breakfast,1,0,1,4,0,10,Online,0,0,160.16
INN04646,Neptune,25/4/2018,2,0,Buffet Breakfast,0,0,1,3,0,75,Offline,0,0,75.0
INN00031,Venus,19/9/2017,2,0,Buffet Breakfast,1,0,1,1,0,3,Online,0,0,177.5
INN18732,Neptune,12/6/2018,1,0,Buffet Breakfast,0,0,2,4,0,69,Offline,0,0,120.0
INN28706,Neptune,1/8/2018,2,0,Not Selected,0,0,1,4,0,164,Online,0,0,89.25
INN07856,Neptune,20/11/2018,2,0,Buffet Breakfast,0,0,2,1,0,37,Offline,0,0,72.0
INN25054,Neptune,2/4/2018,2,0,Buffet Breakfast,1,0,2,3,0,68,Online,0,0,89.93
INN21977,Neptune,23/7/2018,2,0,Buffet Breakfast,1,0,2,2,0,153,Online,0,0,99.45
INN19691,Neptune,11/9/2018,1,0,Not Selected,0,0,2,0,0,10,Online,0,0,149.0
INN24194,Jupiter,3/8/2017,2,2,Buffet Breakfast,2,0,1,2,0,7,Complementary,0,0,0.0
INN27742,Neptune,21/12/2018,2,0,Buffet Breakfast,0,0,0,4,0,98,Offline,0,0,75.0
INN19270,Neptune,26/3/2018,2,0,Buffet Breakfast,0,0,2,1,0,92,Offline,0,0,100.0
INN19072,Neptune,31/8/2018,2,0,Not Selected,0,1,0,3,0,35,Online,0,0,108.0
INN02407,Neptune,17/10/2017,2,0,Buffet Breakfast,0,0,0,1,0,289,Offline,0,0,67.0
INN30526,Neptune,19/4/2018,2,0,Not Selected,0,0,0,1,0,9,Online,0,0,89.0
INN31125,Neptune,28/8/2017,1,0,Buffet Breakfast,0,0,0,1,2,7,Corporate,1,1,65.0
INN13432,Neptune,20/5/2018,2,0,Buffet Breakfast,0,0,0,2,0,211,Offline,0,0,100.0
INN16035,Neptune,28/4/2018,2,0,Buffet Breakfast,1,0,0,1,0,45,Online,0,0,106.2
INN32414,Venus,4/11/2017,2,0,Buffet Breakfast,0,0,0,3,0,42,Offline,0,0,60.0
INN23084,Neptune,6/6/2018,2,0,Luxury Buffet Breakfast,0,0,1,1,0,247,Offline,0,0,115.0
INN21957,Neptune,13/8/2018,2,0,Buffet Breakfast,0,0,0,1,0,157,Online,0,0,114.3
INN13260,Venus,12/2/2018,2,0,Buffet Breakfast,0,0,2,2,0,22,Online,0,0,80.8
INN16299,Neptune,30/3/2018,2,0,Buffet Breakfast,1,0,0,4,0,57,Online,0,0,85.85
INN32145,Venus,29/8/2018,3,0,Buffet Breakfast,0,0,1,3,0,42,Online,0,0,144.23
INN20308,Neptune,29/12/2017,2,0,Buffet Breakfast,0,0,0,1,0,0,Online,0,0,117.0
INN31497,Neptune,19/11/2018,2,0,Buffet Breakfast,3,0,2,1,0,4,Online,0,0,108.67
INN21834,Venus,26/5/2018,2,0,Buffet Breakfast,1,0,0,3,0,2,Online,0,0,176.0
INN16137,Neptune,25/10/2018,2,0,Buffet Breakfast,1,0,0,5,0,32,Offline,0,0,85.0
INN29981,Jupiter,31/10/2017,2,2,Buffet Breakfast,0,0,0,1,0,0,Complementary,0,0,0.0
INN28287,Neptune,1/7/2018,2,0,Not Selected,1,0,1,2,0,56,Online,0,0,107.1
INN30643,Neptune,28/3/2018,2,0,Buffet Breakfast,0,0,1,0,0,1,Online,0,0,101.0
INN29080,Neptune,25/1/2018,2,0,Not Selected,0,0,1,0,0,0,Online,0,0,90.0
INN22266,Neptune,3/6/2018,2,0,Buffet Breakfast,0,0,0,2,0,177,Offline,0,0,100.0
INN30295,Neptune,11/12/2018,2,0,Buffet Breakfast,0,0,2,0,2,4,Corporate,1,0,75.0
INN04189,Neptune,26/6/2018,3,0,Buffet Breakfast,2,0,2,1,0,84,Online,0,0,103.72
INN05098,Neptune,15/9/2018,2,0,Buffet Breakfast,0,0,0,2,0,317,Online,0,0,120.0
INN04809,Venus,6/11/2017,2,0,Buffet Breakfast,0,0,1,2,0,4,Offline,0,0,78.2
INN07779,Jupiter,27/7/2018,2,2,Buffet Breakfast,0,0,0,2,0,210,Offline,0,0,146.0
INN04731,Venus,7/10/2018,2,0,Buffet Breakfast,0,0,2,2,0,71,Online,0,0,101.87
INN32676,Neptune,25/9/2018,2,0,Not Selected,1,0,2,1,0,32,Online,0,0,99.0
INN05447,Venus,3/7/2018,3,0,Buffet Breakfast,2,0,2,2,0,19,Online,0,0,187.0
INN21149,Neptune,12/7/2018,2,0,Buffet Breakfast,1,0,0,3,0,113,Online,0,0,105.3
INN21339,Neptune,1/11/2018,1,0,Buffet Breakfast,0,0,0,3,0,166,Offline,0,0,110.0
INN07964,Neptune,26/10/2018,2,0,Buffet Breakfast,1,0,0,4,0,36,Online,0,0,129.0
INN15400,Neptune,29/4/2018,3,0,Buffet Breakfast,2,0,0,2,0,55,Online,0,0,159.3
INN14663,Saturn,26/7/2018,2,0,Buffet Breakfast,1,0,0,3,0,86,Online,0,0,97.54
INN15399,Saturn,11/12/2017,2,0,Buffet Breakfast,1,0,0,2,0,11,Complementary,0,0,0.0
INN33772,Neptune,28/10/2018,2,0,Not Selected,2,0,0,2,0,35,Online,0,0,109.0
INN12421,Neptune,3/11/2018,2,0,Buffet Breakfast,0,0,0,3,0,304,Offline,0,0,89.0
INN03630,Neptune,15/11/2018,1,0,Buffet Breakfast,3,0,0,4,0,12,Online,0,0,97.0
INN03507,Neptune,17/6/2018,2,0,Buffet Breakfast,1,0,2,2,0,71,Offline,0,0,80.75
INN31362,Neptune,25/8/2017,2,0,Buffet Breakfast,2,0,0,1,0,1,Online,0,0,106.0
INN03781,Venus,1/5/2018,2,0,Buffet Breakfast,0,0,2,2,0,71,Online,0,0,132.6
INN28342,Neptune,1/7/2018,2,0,Buffet Breakfast,0,0,2,2,0,25,Offline,0,0,72.25
INN06488,Venus,28/12/2017,2,0,Buffet Breakfast,0,0,1,5,0,17,Online,0,0,125.33
INN08026,Venus,2/10/2018,3,0,Buffet Breakfast,1,0,2,1,0,34,Online,0,0,158.4
INN24809,Venus,19/9/2017,1,0,Buffet Breakfast,1,0,1,1,0,3,Online,0,0,177.5
INN33380,Jupiter,15/8/2018,2,2,Buffet Breakfast,1,0,1,1,0,76,Online,0,0,207.9
INN05946,Neptune,10/9/2018,2,0,Not Selected,1,0,1,1,0,40,Online,0,0,134.1
INN02069,Neptune,2/5/2018,2,0,Buffet Breakfast,0,0,1,3,0,164,Online,0,0,99.45
INN25934,Neptune,5/11/2017,1,0,Buffet Breakfast,0,0,0,1,0,0,Corporate,0,0,89.0
INN35633,Neptune,21/12/2017,2,0,Buffet Breakfast,0,1,1,1,0,4,Online,0,0,96.0
INN17686,Neptune,20/1/2018,1,0,Buffet Breakfast,0,0,0,1,0,5,Offline,0,0,65.8
INN19044,Venus,7/10/2018,1,0,Buffet Breakfast,1,0,1,2,0,253,Online,0,0,140.4
INN19516,Neptune,15/3/2018,2,0,Buffet Breakfast,0,0,0,4,0,99,Online,0,0,73.95
INN19844,Neptune,16/10/2018,1,0,Buffet Breakfast,0,0,2,2,0,54,Offline,0,0,66.5
INN28409,Neptune,26/6/2018,2,0,Not Selected,0,0,2,0,0,18,Online,0,0,114.0
INN04744,Neptune,31/3/2018,1,0,Buffet Breakfast,0,1,0,2,5,2,Corporate,1,0,67.0
INN33639,Neptune,10/12/2017,3,0,Not Selected,1,0,0,2,0,36,Online,0,0,55.09
INN16501,Neptune,19/9/2017,2,0,Buffet Breakfast,0,0,2,1,0,108,Online,0,0,98.25
INN27425,Neptune,8/9/2018,2,0,Buffet Breakfast,0,0,0,3,0,183,Offline,0,0,110.0
INN30777,Neptune,4/12/2018,2,0,Not Selected,2,0,2,1,0,24,Online,0,0,88.0
INN12794,Venus,3/6/2018,2,0,Buffet Breakfast,0,0,1,2,0,91,Offline,0,0,90.95
INN27060,Neptune,5/10/2018,2,0,Buffet Breakfast,0,0,0,2,0,22,Offline,0,0,85.0
INN34841,Neptune,21/12/2018,2,0,Not Selected,1,0,2,5,0,107,Online,0,0,76.69
INN02911,Neptune,17/11/2018,2,0,Buffet Breakfast,1,0,1,3,0,29,Online,0,0,89.9
INN08339,Neptune,29/3/2018,2,0,Buffet Breakfast,0,0,0,3,0,24,Online,0,0,134.33
INN17297,Venus,13/3/2018,2,0,Buffet Breakfast,0,0,2,2,0,59,Online,0,0,82.45
INN08584,Neptune,15/7/2018,2,0,Not Selected,1,0,0,2,0,18,Online,0,0,139.0
INN11467,Neptune,29/6/2018,2,1,Buffet Breakfast,1,0,0,2,0,46,Online,0,0,134.1
INN15475,Neptune,15/6/2018,2,0,Buffet Breakfast,0,0,0,3,0,120,Offline,0,0,80.75
INN04752,Neptune,25/11/2018,2,0,Not Selected,0,0,0,1,0,225,Online,0,0,67.5
INN09062,Neptune,8/5/2018,2,0,Not Selected,1,0,2,3,0,98,Online,0,0,109.65
INN26410,Neptune,22/4/2018,2,0,Buffet Breakfast,0,0,1,2,0,186,Offline,0,0,80.0
INN20847,Neptune,3/9/2018,2,0,Not Selected,2,0,2,1,0,81,Online,0,0,125.1
INN35829,Neptune,16/9/2018,2,0,Luxury Buffet Breakfast,1,0,0,2,0,286,Offline,0,0,117.0
INN06267,Neptune,9/5/2018,2,0,Buffet Breakfast,1,0,1,3,0,21,Online,0,0,126.0
INN12215,Neptune,25/1/2018,3,0,Buffet Breakfast,1,0,1,1,0,33,Corporate,0,0,95.0
INN01426,Neptune,8/3/2018,1,0,Luxury Buffet Breakfast,0,0,0,2,0,5,Online,0,0,1.0
INN06775,Neptune,17/10/2017,2,0,Buffet Breakfast,2,0,2,2,0,1,Online,0,0,89.25
INN14648,Neptune,27/12/2017,2,0,Buffet Breakfast,0,0,2,1,0,21,Online,0,0,103.67
INN09491,Neptune,8/3/2018,2,0,Buffet Breakfast,1,0,0,3,0,29,Online,0,0,86.93
INN25069,Venus,30/12/2017,2,0,Buffet Breakfast,0,0,0,3,0,93,Offline,0,0,60.67
INN08793,Neptune,17/10/2017,2,0,Buffet Breakfast,0,0,0,1,0,289,Offline,0,0,67.0
INN06849,Neptune,30/5/2018,1,0,Buffet Breakfast,0,0,1,1,3,5,Corporate,1,0,95.0
INN27844,Neptune,13/11/2018,2,0,Buffet Breakfast,0,0,2,3,0,19,Offline,0,0,80.0
INN04691,Neptune,29/3/2018,2,0,Buffet Breakfast,1,0,0,2,0,36,Offline,0,0,67.32
INN00014,Neptune,20/11/2018,1,0,Buffet Breakfast,2,0,2,0,0,95,Online,0,0,90.0
INN16033,Neptune,13/9/2018,1,0,Luxury Buffet Breakfast,0,0,0,2,0,346,Offline,0,0,90.0
INN18277,Neptune,12/10/2017,1,0,Buffet Breakfast,0,0,1,0,0,4,Corporate,0,0,65.0
INN22162,Neptune,2/12/2018,2,0,Buffet Breakfast,2,0,1,2,0,50,Online,0,0,93.6
INN22544,Neptune,9/10/2017,2,0,Buffet Breakfast,0,0,1,2,0,66,Offline,0,0,75.0
INN09115,Neptune,14/8/2017,2,0,Buffet Breakfast,2,0,1,2,0,3,Online,0,0,126.67
INN25784,Neptune,15/10/2017,1,0,Buffet Breakfast,0,0,0,2,0,0,Offline,0,0,100.0
INN19158,Saturn,11/2/2018,2,2,Buffet Breakfast,0,0,0,3,0,5,Online,0,0,83.03
INN13048,Neptune,24/6/2018,1,0,Buffet Breakfast,0,0,0,2,0,192,Offline,0,0,95.0
INN07276,Neptune,30/7/2018,2,0,Buffet Breakfast,1,0,2,2,0,181,Online,0,0,103.95
INN31610,Neptune,25/3/2018,2,0,Buffet Breakfast,0,0,1,2,0,81,Offline,0,0,65.0
INN13479,Neptune,16/10/2017,2,0,Buffet Breakfast,0,0,0,2,0,17,Offline,0,0,48.0
INN18501,Neptune,30/6/2018,2,0,Not Selected,0,0,0,3,0,157,Online,0,0,85.5
INN28661,Neptune,21/5/2018,2,0,Not Selected,0,0,2,1,0,48,Online,0,0,104.49
INN34866,Neptune,20/8/2018,2,0,Not Selected,1,0,2,2,0,15,Online,0,0,129.0
INN24410,Neptune,5/2/2018,2,0,Not Selected,0,0,1,2,0,7,Online,0,0,79.0
INN33563,Neptune,4/7/2018,2,0,Buffet Breakfast,1,0,1,0,0,142,Online,0,0,96.3
INN06510,Neptune,11/7/2017,2,0,Luxury Buffet Breakfast,0,0,2,1,0,96,Offline,0,0,94.5
INN20208,Neptune,24/4/2018,2,0,Buffet Breakfast,0,0,2,2,0,5,Online,0,0,123.5
INN01268,Venus,2/10/2018,2,0,Buffet Breakfast,0,0,2,2,0,10,Online,0,0,107.0
INN04200,Neptune,5/9/2018,3,0,Buffet Breakfast,0,0,1,3,0,35,Online,0,0,118.8
INN08336,Neptune,12/11/2018,2,0,Buffet Breakfast,0,0,2,2,0,46,Offline,0,0,75.0
INN29069,Neptune,22/10/2018,2,0,Buffet Breakfast,0,0,2,2,0,229,Online,0,0,89.25
INN11147,Neptune,11/3/2018,2,0,Buffet Breakfast,1,0,2,2,0,38,Online,0,0,81.9
INN10279,Venus,24/9/2018,2,0,Buffet Breakfast,2,0,2,2,0,68,Online,0,0,149.4
INN16278,Neptune,9/4/2018,2,0,Buffet Breakfast,0,0,1,1,1,190,Offline,1,13,70.0
INN09899,Neptune,25/9/2017,2,0,Buffet Breakfast,0,0,2,3,0,192,Offline,0,0,102.0
INN26117,Venus,20/5/2018,2,0,Buffet Breakfast,1,0,2,3,0,29,Online,0,0,132.72
INN25003,Venus,17/6/2018,2,0,Buffet Breakfast,1,0,1,2,0,160,Online,0,0,129.0
INN17473,Neptune,13/9/2018,2,0,Luxury Buffet Breakfast,1,0,0,2,0,346,Offline,0,0,115.0
INN20323,Neptune,6/10/2018,2,0,Buffet Breakfast,1,0,2,5,0,206,Online,0,0,102.85
INN04336,Neptune,3/6/2018,2,0,Buffet Breakfast,0,0,0,2,0,49,Offline,0,0,80.75
INN13232,Jupiter,24/8/2018,2,2,Buffet Breakfast,2,1,0,1,0,1,Online,0,0,228.0
INN06603,Neptune,5/4/2018,2,0,Not Selected,1,0,0,1,0,11,Online,0,0,68.53
INN05886,Neptune,8/1/2018,2,1,Buffet Breakfast,2,1,0,1,0,4,Online,0,0,87.3
INN28635,Neptune,2/10/2018,2,0,Not Selected,1,0,2,1,0,44,Online,0,0,108.0
INN07248,Venus,15/5/2018,3,0,Luxury Buffet Breakfast,0,0,1,0,0,21,Online,0,0,210.6
INN15627,Neptune,18/12/2017,1,0,Buffet Breakfast,0,0,0,1,0,22,Corporate,0,0,65.0
INN02634,Neptune,29/7/2018,2,0,Not Selected,0,0,0,1,0,1,Online,0,0,109.0
INN08379,Venus,26/12/2018,2,0,Buffet Breakfast,0,0,2,5,0,355,Online,0,0,87.31
INN02197,Neptune,24/12/2018,2,0,Not Selected,1,0,2,3,0,90,Online,0,0,74.8
INN14343,Neptune,10/6/2018,2,0,Buffet Breakfast,1,0,1,2,0,57,Offline,0,0,90.67
INN06446,Neptune,28/3/2018,2,0,Buffet Breakfast,1,0,2,5,0,182,Online,0,0,96.94
INN26659,Neptune,20/9/2017,2,0,Buffet Breakfast,2,0,2,1,0,8,Online,0,0,126.0
INN18267,Neptune,27/9/2018,2,0,Buffet Breakfast,0,0,0,2,0,12,Offline,0,0,95.0
INN20168,Neptune,13/7/2017,2,0,Buffet Breakfast,1,0,1,0,0,123,Online,0,0,76.5
INN17309,Neptune,6/9/2018,2,0,Buffet Breakfast,2,1,0,2,0,137,Online,0,0,135.9
INN23282,Neptune,11/12/2017,2,0,Buffet Breakfast,1,0,0,1,0,0,Corporate,0,0,75.0
INN16132,Neptune,3/8/2018,2,0,Not Selected,0,0,0,1,0,157,Online,0,0,94.5
INN22204,Neptune,25/11/2018,2,0,Buffet Breakfast,0,0,0,2,0,308,Offline,0,0,52.0
INN20871,Neptune,30/9/2018,2,0,Buffet Breakfast,0,0,1,2,0,91,Offline,0,0,80.0
INN28011,Neptune,13/10/2018,2,0,Buffet Breakfast,0,0,0,3,0,37,Offline,0,0,105.0
INN13290,Saturn,26/6/2018,2,0,Buffet Breakfast,1,0,2,2,0,119,Online,0,0,83.83
INN07545,Mercury,13/10/2018,2,2,Buffet Breakfast,1,0,0,2,0,7,Online,0,0,231.78
INN27847,Neptune,8/12/2018,3,0,Buffet Breakfast,0,0,0,3,0,91,Offline,0,0,92.65
INN06867,Jupiter,3/4/2018,2,2,Luxury Buffet Breakfast,0,0,2,5,0,71,Online,0,0,203.76
INN12561,Venus,11/6/2018,3,0,Buffet Breakfast,0,0,0,1,0,63,Online,0,0,159.3
INN01312,Neptune,21/3/2018,2,0,Buffet Breakfast,0,0,1,2,0,73,Offline,0,0,38.67
INN31701,Neptune,6/5/2018,2,1,Luxury Buffet Breakfast,0,0,2,3,0,38,Online,0,0,149.68
INN17720,Venus,4/9/2018,2,0,Buffet Breakfast,1,0,2,5,0,69,Online,0,0,149.4
INN32524,Neptune,11/4/2018,2,0,Not Selected,0,0,1,2,0,57,Online,0,0,94.5
INN01356,Neptune,17/7/2017,1,0,Luxury Buffet Breakfast,0,0,0,2,0,273,Offline,0,0,87.0
INN27928,Neptune,2/5/2018,2,0,Buffet Breakfast,1,0,1,1,0,180,Online,0,0,0.0
INN34219,Neptune,23/6/2018,2,0,Buffet Breakfast,1,0,0,1,0,80,Online,0,0,96.3
