Booking_ID,RoomType,FromDate,Adults,Children,Breakfast,Number of Special Requests,Airport Pickup,Weekend Nights,Weeknights,Loyalty Points,Lead time in days,Booking Type,Existing Customer,Previous Cancellations,Average Room Price,Booking Status
INN21421,Venus,4/4/2018,1,0,Buffet Breakfast,0,0,4,10,0,14,Online,0,0,132.0,Canceled
INN01989,Neptune,20/9/2017,2,0,Buffet Breakfast,1,0,1,0,0,141,Offline,0,0,90.0,Arrived
INN25635,Neptune,15/2/2018,2,0,Buffet Breakfast,0,0,1,2,0,74,Offline,0,0,58.0,Arrived
INN17826,Neptune,17/6/2018,2,0,Buffet Breakfast,0,0,0,2,0,245,Offline,0,0,75.0,Canceled
INN00473,Neptune,14/8/2017,2,0,Buffet Breakfast,1,0,0,1,0,157,Online,0,0,76.5,Arrived
INN31412,Neptune,28/2/2018,1,0,Buffet Breakfast,0,0,2,1,0,116,Offline,0,0,75.0,Arrived
INN18035,Neptune,20/5/2018,2,0,Buffet Breakfast,1,0,0,1,0,0,Online,0,0,155.0,Arrived
INN14205,Venus,5/10/2018,1,0,Buffet Breakfast,1,0,0,2,0,41,Online,0,0,107.41,Arrived
INN10385,Neptune,30/10/2017,2,0,Buffet Breakfast,0,0,2,2,0,99,Offline,0,0,65.0,Canceled
INN20809,Neptune,24/2/2018,2,0,Buffet Breakfast,0,0,0,3,0,34,Online,0,0,89.7,Canceled
INN21509,Neptune,28/11/2018,2,0,Not Selected,1,1,1,0,0,1,Online,0,0,97.0,Arrived
INN28476,Neptune,3/7/2017,2,0,Buffet Breakfast,1,0,1,2,0,80,Online,0,0,76.5,Canceled
INN31072,Neptune,16/10/2017,2,0,Luxury Buffet Breakfast,0,0,0,2,0,102,Offline,0,0,109.0,Arrived
INN34150,Neptune,18/9/2017,1,0,Luxury Buffet Breakfast,0,0,0,2,0,74,Offline,0,0,87.0,Arrived
INN27760,Jupiter,10/6/2018,2,2,Buffet Breakfast,0,0,2,4,0,21,Online,0,0,206.0,Canceled
INN35627,Neptune,25/11/2018,2,0,Buffet Breakfast,0,0,0,2,0,308,Offline,0,0,52.0,Canceled
INN07428,Venus,19/8/2018,3,0,Buffet Breakfast,2,0,0,2,0,88,Online,0,0,150.3,Arrived
INN19060,Neptune,30/9/2018,2,0,Buffet Breakfast,0,0,1,2,0,267,Offline,0,0,95.0,Canceled
INN27660,Neptune,23/9/2017,3,0,Buffet Breakfast,1,0,0,1,0,27,Offline,0,0,128.2,Arrived
INN13089,Venus,21/4/2018,2,0,Buffet Breakfast,0,0,0,3,0,8,Online,0,0,146.0,Arrived
INN02536,Neptune,20/8/2018,2,0,Buffet Breakfast,1,1,1,1,0,90,Online,0,0,126.9,Arrived
INN28026,Neptune,8/12/2018,3,0,Buffet Breakfast,0,0,0,3,0,157,Offline,0,0,92.65,Arrived
INN05174,Jupiter,31/12/2018,2,0,Buffet Breakfast,1,0,1,1,0,20,Online,0,0,208.0,Arrived
INN01590,Neptune,18/10/2018,2,0,Luxury Buffet Breakfast,1,0,0,4,0,184,Online,0,0,130.5,Canceled
INN04953,Jupiter,25/4/2018,1,2,Luxury Buffet Breakfast,0,0,1,3,0,13,Online,0,0,260.5,Canceled
INN03868,Neptune,22/10/2017,2,0,Buffet Breakfast,1,0,0,3,0,37,Online,0,0,96.3,Arrived
INN34221,Neptune,3/5/2018,2,0,Luxury Buffet Breakfast,1,0,0,3,0,88,Offline,0,0,117.0,Arrived
INN29081,Neptune,22/4/2018,3,0,Buffet Breakfast,0,0,1,2,0,186,Offline,0,0,115.0,Canceled
INN13050,Neptune,24/6/2018,2,0,Luxury Buffet Breakfast,1,0,0,2,0,265,Offline,0,0,115.0,Canceled
INN09734,Neptune,12/1/2018,2,0,Buffet Breakfast,0,0,0,1,0,12,Online,0,0,69.6,Arrived
INN30176,Neptune,31/1/2018,2,0,Buffet Breakfast,1,0,2,4,0,29,Online,0,0,79.75,Arrived
INN16381,Venus,3/3/2018,1,0,Buffet Breakfast,0,0,0,1,1,0,Complementary,1,2,0.0,Arrived
INN17509,Neptune,14/6/2018,1,0,Buffet Breakfast,0,0,0,2,9,12,Corporate,1,0,65.0,Arrived
INN10991,Neptune,17/5/2018,1,0,Buffet Breakfast,0,0,0,2,0,64,Corporate,0,0,130.0,Arrived
INN25242,Venus,8/8/2018,3,0,Buffet Breakfast,0,0,1,0,0,63,Online,0,0,168.3,Canceled
INN31361,Neptune,23/10/2017,2,0,Buffet Breakfast,0,0,2,2,0,11,Offline,0,0,88.5,Arrived
INN25676,Neptune,10/3/2018,2,1,Buffet Breakfast,0,0,0,3,0,30,Online,0,0,98.1,Canceled
INN02331,Neptune,16/5/2018,2,0,Not Selected,0,0,1,3,0,132,Online,0,0,89.25,Canceled
INN16702,Neptune,3/6/2018,2,0,Buffet Breakfast,0,0,1,2,0,191,Offline,0,0,132.0,Canceled
INN16795,Neptune,11/9/2018,2,0,Not Selected,3,0,2,0,0,14,Online,0,0,98.0,Arrived
INN07967,Jupiter,26/10/2017,2,2,Buffet Breakfast,3,0,2,5,0,16,Online,0,0,189.49,Arrived
INN09780,Neptune,16/2/2018,1,0,Not Selected,1,0,0,3,0,63,Online,0,0,48.51,Arrived
INN06763,Venus,26/8/2018,3,0,Buffet Breakfast,2,1,1,2,0,131,Online,0,0,137.7,Arrived
INN03636,Neptune,12/2/2018,2,0,Not Selected,1,0,0,2,0,4,Online,0,0,88.0,Arrived
INN33607,Neptune,26/9/2018,2,1,Buffet Breakfast,0,0,1,1,0,120,Online,0,0,152.1,Canceled
INN22087,Saturn,8/11/2017,2,0,Buffet Breakfast,0,0,2,3,0,3,Online,0,0,87.7,Arrived
INN18351,Neptune,2/4/2018,2,0,Not Selected,1,0,0,1,0,4,Online,0,0,99.0,Arrived
INN06998,Neptune,21/9/2018,2,0,Buffet Breakfast,0,0,0,2,0,57,Offline,0,0,101.52,Arrived
INN18603,Mercury,7/10/2018,2,0,Buffet Breakfast,1,0,1,2,0,3,Online,0,0,204.82,Arrived
INN29751,Neptune,17/5/2018,2,0,Not Selected,0,0,0,2,0,31,Online,0,0,125.1,Canceled
INN11258,Neptune,28/2/2018,1,0,Buffet Breakfast,0,0,2,2,0,116,Offline,0,0,61.0,Canceled
INN32604,Neptune,18/8/2017,1,0,Buffet Breakfast,1,0,0,2,0,47,Offline,0,0,100.0,Arrived
INN08103,Neptune,14/12/2017,1,0,Buffet Breakfast,0,0,1,0,0,1,Online,0,0,81.0,Arrived
INN07838,Neptune,19/3/2018,2,0,Not Selected,1,0,2,2,0,66,Online,0,0,62.18,Arrived
INN06728,Neptune,3/12/2018,2,0,Luxury Buffet Breakfast,1,0,2,3,0,52,Online,0,0,120.7,Arrived
INN09723,Neptune,15/9/2018,1,0,Not Selected,2,0,0,2,0,21,Online,0,0,139.0,Arrived
INN26608,Neptune,31/10/2017,2,0,Buffet Breakfast,1,0,2,2,0,75,Online,0,0,76.5,Canceled
INN01713,Neptune,2/10/2017,2,0,Buffet Breakfast,1,0,0,1,0,164,Offline,0,0,100.0,Arrived
INN32066,Venus,5/11/2018,2,0,Buffet Breakfast,1,0,0,1,0,11,Online,0,0,140.0,Canceled
INN14448,Neptune,7/11/2018,2,0,Buffet Breakfast,2,0,1,3,0,39,Online,0,0,174.25,Arrived
INN00805,Neptune,2/9/2018,2,0,Buffet Breakfast,0,0,2,3,0,179,Online,0,0,119.85,Canceled
INN34381,Venus,10/10/2018,3,0,Buffet Breakfast,2,0,1,3,0,53,Online,0,0,151.2,Arrived
INN05035,Neptune,3/10/2017,2,0,Buffet Breakfast,0,0,0,1,0,236,Online,0,0,89.25,Canceled
INN35872,Neptune,3/9/2017,2,0,Buffet Breakfast,0,0,2,3,0,21,Online,0,0,105.0,Arrived
INN22364,Venus,29/7/2018,3,0,Buffet Breakfast,1,0,2,3,0,162,Online,0,0,130.05,Canceled
INN14502,Neptune,28/2/2018,1,0,Buffet Breakfast,0,0,2,1,0,1,Offline,0,0,60.0,Canceled
INN30746,Neptune,25/5/2018,1,0,Buffet Breakfast,0,0,0,1,0,1,Aviation,0,0,95.0,Canceled
INN05048,Neptune,12/10/2018,1,0,Buffet Breakfast,0,0,0,1,0,27,Corporate,0,0,65.0,Arrived
INN07274,Neptune,11/10/2018,1,0,Buffet Breakfast,0,0,0,2,0,181,Online,0,0,120.0,Canceled
INN28610,Neptune,24/6/2018,2,0,Luxury Buffet Breakfast,1,0,0,2,0,265,Offline,0,0,115.0,Canceled
INN18371,Neptune,13/5/2018,2,0,Buffet Breakfast,0,0,2,3,0,57,Online,0,0,119.85,Canceled
INN25326,Venus,13/10/2017,2,0,Buffet Breakfast,0,0,0,3,0,22,Offline,0,0,75.0,Arrived
INN16401,Neptune,15/12/2017,1,0,Buffet Breakfast,0,0,0,4,14,13,Corporate,1,2,65.0,Arrived
INN13890,Neptune,20/2/2018,2,0,Buffet Breakfast,0,0,2,1,0,12,Online,0,0,93.0,Arrived
INN30528,Neptune,17/7/2018,1,0,Buffet Breakfast,1,1,1,0,0,20,Online,0,0,154.0,Arrived
INN13263,Neptune,29/9/2018,2,0,Not Selected,1,0,0,1,0,80,Online,0,0,125.1,Canceled
INN15137,Venus,27/4/2018,2,0,Buffet Breakfast,1,0,2,4,0,99,Online,0,0,107.95,Arrived
INN00598,Venus,29/6/2018,2,0,Buffet Breakfast,1,0,0,3,0,27,Online,0,0,125.25,Arrived
INN31115,Neptune,13/2/2018,2,0,Buffet Breakfast,1,0,0,1,0,2,Online,0,0,91.0,Arrived
INN05405,Venus,31/3/2018,1,0,Buffet Breakfast,1,0,0,1,0,44,Online,0,0,104.4,Arrived
INN23226,Neptune,2/7/2018,2,0,Buffet Breakfast,0,0,2,2,0,39,Online,0,0,117.9,Canceled
INN16317,Neptune,21/6/2018,2,0,Buffet Breakfast,1,0,0,3,0,99,Online,0,0,88.6,Canceled
INN19926,Neptune,12/10/2018,2,0,Buffet Breakfast,0,0,0,3,0,279,Offline,0,0,110.0,Canceled
INN02166,Venus,18/10/2017,2,0,Buffet Breakfast,2,0,2,2,0,8,Online,0,0,136.0,Arrived
INN33975,Neptune,1/10/2017,1,0,Buffet Breakfast,0,0,0,1,0,3,Complementary,0,0,0.0,Arrived
INN28430,Venus,22/6/2018,3,0,Buffet Breakfast,2,0,0,1,0,0,Online,0,0,147.0,Arrived
INN11446,Venus,4/10/2017,2,0,Buffet Breakfast,1,0,2,0,0,11,Online,0,0,136.0,Arrived
INN27026,Venus,15/9/2018,2,0,Buffet Breakfast,2,0,0,3,0,192,Online,0,0,140.4,Canceled
INN00775,Neptune,28/7/2018,2,0,Not Selected,1,0,0,1,0,29,Online,0,0,139.0,Arrived
INN18780,Neptune,14/1/2018,1,0,Buffet Breakfast,0,0,0,1,8,2,Corporate,1,0,66.0,Arrived
INN09771,Neptune,4/10/2018,2,0,Buffet Breakfast,0,0,1,5,0,349,Offline,0,0,123.33,Canceled
INN12026,Neptune,8/12/2018,2,0,Buffet Breakfast,1,0,0,1,0,113,Online,0,0,90.0,Canceled
INN19358,Neptune,19/9/2018,2,0,Buffet Breakfast,0,0,1,2,0,280,Offline,0,0,110.0,Canceled
INN22491,Neptune,18/2/2018,2,0,Buffet Breakfast,1,0,0,3,0,13,Offline,0,0,87.0,Arrived
INN05173,Neptune,31/12/2018,2,0,Buffet Breakfast,0,0,2,5,0,107,Offline,0,0,103.57,Arrived
INN12468,Neptune,17/9/2017,2,0,Luxury Buffet Breakfast,0,0,0,2,0,56,Offline,0,0,82.0,Arrived
INN10837,Neptune,8/10/2017,1,0,Buffet Breakfast,0,0,0,1,0,1,Offline,0,0,85.0,Arrived
INN21177,Neptune,14/9/2017,1,0,Buffet Breakfast,0,0,1,3,0,14,Corporate,0,0,65.0,Arrived
INN33063,Jupiter,29/3/2018,2,0,Buffet Breakfast,0,0,0,4,0,49,Online,0,0,86.28,Canceled
INN21154,Neptune,3/9/2018,2,0,Luxury Buffet Breakfast,0,0,2,3,0,68,Offline,0,0,106.75,Arrived
INN11575,Neptune,12/5/2018,1,0,Buffet Breakfast,0,0,2,5,0,14,Aviation,0,0,95.0,Arrived
INN26560,Venus,27/12/2017,2,0,Buffet Breakfast,0,0,2,3,0,61,Offline,0,0,56.0,Arrived
INN16241,Neptune,27/7/2018,2,1,Buffet Breakfast,0,0,0,1,0,122,Online,0,0,121.5,Canceled
INN11752,Neptune,4/11/2018,2,0,Buffet Breakfast,0,0,1,2,0,305,Offline,0,0,89.0,Canceled
INN08481,Venus,15/8/2018,2,0,Buffet Breakfast,1,0,1,1,0,14,Online,0,0,166.0,Arrived
INN35684,Neptune,4/6/2018,2,0,Buffet Breakfast,0,0,1,1,0,275,Offline,0,0,62.8,Canceled
INN36040,Neptune,29/10/2018,2,0,Buffet Breakfast,1,0,1,1,0,53,Online,0,0,107.1,Canceled
INN17851,Neptune,20/11/2017,1,0,Buffet Breakfast,0,0,0,2,0,32,Offline,0,0,73.0,Arrived
INN17298,Venus,26/10/2018,2,0,Buffet Breakfast,1,0,2,5,0,167,Online,0,0,104.4,Canceled
INN04553,Venus,16/4/2018,2,0,Buffet Breakfast,1,0,2,2,0,1,Online,0,0,116.0,Arrived
INN24436,Neptune,14/3/2018,2,0,Buffet Breakfast,1,0,1,4,0,71,Online,0,0,58.25,Arrived
INN13422,Neptune,9/4/2018,2,0,Not Selected,0,0,2,1,0,89,Online,0,0,79.5,Arrived
INN06024,Venus,12/11/2017,2,0,Buffet Breakfast,0,0,2,3,0,51,Offline,0,0,60.0,Arrived
INN18072,Neptune,7/10/2018,2,0,Buffet Breakfast,1,0,0,2,0,88,Corporate,0,0,90.0,Arrived
INN01342,Saturn,5/11/2017,2,0,Buffet Breakfast,1,0,0,2,0,47,Online,0,0,105.5,Arrived
INN11878,Neptune,1/11/2018,1,0,Buffet Breakfast,0,0,0,3,0,166,Offline,0,0,110.0,Canceled
INN29321,Neptune,21/4/2018,2,0,Buffet Breakfast,1,0,0,1,0,26,Online,0,0,117.0,Arrived
INN18854,Venus,25/10/2018,2,0,Buffet Breakfast,0,0,0,5,0,84,Online,0,0,104.4,Canceled
INN07299,Neptune,6/5/2018,2,1,Luxury Buffet Breakfast,0,0,2,2,0,29,Online,0,0,162.01,Canceled
INN19821,Neptune,12/8/2018,2,0,Buffet Breakfast,1,0,1,2,0,169,Online,0,0,105.3,Canceled
INN21749,Jupiter,18/9/2018,1,2,Buffet Breakfast,0,0,2,2,0,20,Online,0,0,231.5,Canceled
INN04799,Neptune,8/9/2018,2,0,Buffet Breakfast,1,0,0,3,0,183,Online,0,0,110.0,Canceled
INN08933,Neptune,26/11/2018,1,0,Buffet Breakfast,0,0,1,1,0,2,Online,0,0,99.5,Canceled
INN01344,Neptune,15/9/2018,2,0,Buffet Breakfast,0,0,0,2,0,317,Online,0,0,120.0,Canceled
INN10021,Neptune,9/10/2017,2,0,Buffet Breakfast,0,0,1,2,0,66,Offline,0,0,75.0,Canceled
INN11310,Neptune,25/9/2017,1,0,Buffet Breakfast,1,0,2,3,0,65,Online,0,0,118.14,Arrived
INN22818,Neptune,11/7/2017,2,0,Luxury Buffet Breakfast,0,0,2,1,0,96,Offline,0,0,94.5,Arrived
INN24787,Neptune,6/2/2018,1,0,Buffet Breakfast,0,0,1,1,0,1,Online,0,0,86.0,Arrived
INN15230,Venus,15/7/2018,3,0,Buffet Breakfast,1,0,0,1,0,60,Online,0,0,137.7,Canceled
INN30888,Venus,9/8/2018,3,0,Buffet Breakfast,1,0,0,4,0,149,Online,0,0,138.55,Arrived
INN01693,Neptune,25/7/2018,2,1,Buffet Breakfast,0,0,1,1,0,161,Online,0,0,121.5,Canceled
INN08001,Jupiter,29/2/2018,2,2,Buffet Breakfast,1,0,1,3,0,3,Online,0,0,183.0,Arrived
INN35327,Neptune,12/9/2018,2,0,Not Selected,1,0,1,0,0,69,Online,0,0,125.1,Arrived
INN25324,Neptune,14/1/2018,2,0,Buffet Breakfast,0,0,0,1,0,10,Online,0,0,89.3,Arrived
INN17503,Venus,14/7/2018,3,0,Buffet Breakfast,0,0,0,3,0,160,Online,0,0,137.7,Canceled
INN08183,Neptune,15/6/2018,1,0,Buffet Breakfast,0,0,0,2,0,188,Offline,0,0,130.0,Canceled
INN03908,Neptune,2/12/2018,2,0,Buffet Breakfast,0,0,1,2,0,67,Offline,0,0,75.0,Arrived
INN21111,Venus,6/10/2018,2,0,Not Selected,0,0,0,1,0,1,Online,0,0,108.04,Arrived
INN32000,Neptune,13/9/2018,1,0,Buffet Breakfast,0,1,0,2,44,0,Corporate,1,4,67.0,Arrived
INN16690,Venus,22/3/2018,3,0,Buffet Breakfast,1,0,0,1,0,40,Online,0,0,131.4,Canceled
INN06391,Jupiter,25/8/2017,2,2,Buffet Breakfast,2,0,0,2,0,1,Online,0,0,156.0,Arrived
INN31981,Neptune,2/3/2018,1,0,Buffet Breakfast,0,0,0,1,0,2,Offline,0,0,55.0,Arrived
INN25893,Venus,27/2/2018,2,0,Buffet Breakfast,1,0,0,1,0,12,Online,0,0,108.0,Arrived
INN19629,Neptune,26/4/2018,2,0,Not Selected,0,0,0,3,0,69,Online,0,0,94.5,Canceled
INN20844,Neptune,1/5/2018,2,0,Buffet Breakfast,0,0,2,2,0,83,Offline,0,0,75.0,Arrived
INN24308,Neptune,14/11/2017,2,0,Buffet Breakfast,2,0,0,0,0,0,Online,0,0,0.0,Arrived
INN03853,Neptune,19/8/2018,2,0,Luxury Buffet Breakfast,0,0,0,2,0,291,Online,0,0,115.0,Canceled
INN08425,Neptune,30/10/2018,2,0,Luxury Buffet Breakfast,0,0,2,0,0,75,Offline,0,0,105.0,Canceled
INN00654,Saturn,19/8/2018,0,2,Buffet Breakfast,1,0,1,2,0,78,Online,0,0,115.68,Arrived
INN22106,Neptune,18/4/2018,2,0,Buffet Breakfast,0,0,1,2,0,95,Online,0,0,96.3,Canceled
INN34042,Jupiter,30/10/2018,2,0,Not Selected,0,0,2,1,0,18,Online,0,0,145.0,Arrived
INN09069,Neptune,3/12/2018,2,0,Not Selected,1,0,2,1,0,76,Online,0,0,79.2,Arrived
INN10795,Neptune,20/10/2018,2,0,Buffet Breakfast,0,0,0,3,0,28,Offline,0,0,85.0,Arrived
INN31413,Neptune,15/4/2018,2,0,Not Selected,1,0,1,2,0,77,Online,0,0,68.04,Arrived
INN33605,Neptune,11/7/2018,2,1,Buffet Breakfast,2,0,1,1,0,1,Online,0,0,169.0,Arrived
INN33297,Venus,9/10/2018,2,0,Buffet Breakfast,2,0,2,1,0,115,Online,0,0,132.3,Canceled
INN13429,Neptune,12/10/2018,2,0,Buffet Breakfast,0,0,0,3,0,105,Offline,0,0,75.0,Arrived
INN17322,Neptune,25/3/2018,3,0,Buffet Breakfast,0,0,1,2,0,81,Offline,0,0,94.0,Arrived
INN32704,Neptune,11/7/2018,2,0,Not Selected,0,0,1,3,0,157,Online,0,0,91.38,Canceled
INN29152,Neptune,16/10/2017,2,0,Luxury Buffet Breakfast,0,0,0,2,0,102,Offline,0,0,101.5,Canceled
INN36035,Neptune,11/4/2018,2,0,Buffet Breakfast,1,0,1,3,0,50,Online,0,0,72.75,Arrived
INN00626,Venus,14/10/2017,2,0,Buffet Breakfast,1,0,0,4,0,41,Online,0,0,87.54,Arrived
INN24319,Neptune,6/10/2018,2,0,Buffet Breakfast,1,0,1,3,0,85,Offline,0,0,85.0,Arrived
INN20548,Neptune,25/3/2018,2,0,Buffet Breakfast,0,0,1,2,0,90,Online,0,0,96.3,Arrived
INN34831,Neptune,16/5/2018,2,0,Buffet Breakfast,0,0,1,2,0,84,Online,0,0,126.9,Canceled
INN12161,Neptune,14/9/2018,2,0,Buffet Breakfast,0,0,0,2,0,48,Offline,0,0,130.0,Arrived
INN13968,Neptune,31/8/2017,1,0,Buffet Breakfast,2,0,1,4,0,13,Online,0,0,92.0,Canceled
INN14162,Neptune,6/3/2018,1,0,Buffet Breakfast,0,0,2,3,0,90,Online,0,0,74.95,Arrived
INN01735,Neptune,4/6/2018,2,0,Buffet Breakfast,0,0,2,1,1,59,Offline,1,0,95.0,Arrived
INN03648,Neptune,10/5/2018,2,0,Luxury Buffet Breakfast,1,0,0,3,0,71,Offline,0,0,126.0,Arrived
INN08172,Neptune,10/4/2018,2,0,Buffet Breakfast,0,0,2,0,0,13,Online,0,0,118.0,Arrived
INN30653,Neptune,17/9/2017,2,0,Buffet Breakfast,2,0,0,1,0,43,Online,0,0,94.5,Arrived
INN18190,Neptune,26/11/2018,2,0,Not Selected,2,0,1,1,0,98,Online,0,0,79.2,Canceled
INN18877,Venus,25/3/2018,3,0,Buffet Breakfast,0,0,0,2,0,34,Online,0,0,159.3,Canceled
INN04227,Neptune,6/2/2018,2,1,Buffet Breakfast,0,0,0,1,0,12,Online,0,0,109.0,Canceled
INN15101,Venus,13/5/2018,2,0,Buffet Breakfast,0,0,1,2,0,91,Online,0,0,140.4,Canceled
INN00746,Venus,15/8/2018,3,0,Buffet Breakfast,1,0,1,2,0,25,Online,0,0,187.0,Canceled
INN19160,Neptune,29/9/2017,2,0,Buffet Breakfast,0,0,0,2,0,68,Offline,0,0,48.0,Arrived
INN24930,Saturn,31/10/2018,0,2,Buffet Breakfast,3,0,1,2,0,200,Online,0,0,82.92,Arrived
INN33048,Neptune,13/5/2018,2,0,Buffet Breakfast,0,0,1,2,0,273,Offline,0,0,95.0,Canceled
INN16026,Neptune,25/11/2018,2,0,Buffet Breakfast,2,0,0,2,0,130,Online,0,0,90.0,Arrived
INN17725,Neptune,5/6/2018,1,0,Buffet Breakfast,0,0,2,2,0,163,Offline,0,0,100.0,Canceled
INN02210,Neptune,26/6/2018,2,0,Buffet Breakfast,1,0,1,0,0,166,Online,0,0,96.3,Arrived
INN09655,Neptune,3/11/2017,2,0,Buffet Breakfast,1,0,0,1,0,10,Online,0,0,82.39,Arrived
INN18738,Neptune,12/3/2018,2,0,Not Selected,1,0,0,1,0,11,Online,0,0,97.0,Arrived
INN17912,Venus,21/7/2018,2,0,Buffet Breakfast,0,0,0,1,0,1,Online,0,0,146.0,Arrived
INN10055,Neptune,6/7/2017,1,0,Buffet Breakfast,2,0,1,3,0,92,Online,0,0,68.0,Canceled
INN15597,Neptune,13/5/2018,2,0,Buffet Breakfast,0,0,2,3,0,276,Offline,0,0,61.0,Canceled
INN22997,Neptune,16/10/2017,2,0,Buffet Breakfast,0,0,1,2,0,102,Online,0,0,89.25,Arrived
INN17673,Neptune,8/3/2018,2,0,Buffet Breakfast,1,0,0,3,0,3,Online,0,0,91.0,Arrived
INN28949,Venus,23/10/2018,2,0,Buffet Breakfast,0,0,2,3,0,83,Online,0,0,115.56,Canceled
INN29631,Neptune,24/6/2018,1,0,Buffet Breakfast,0,0,0,2,0,192,Offline,0,0,95.0,Arrived
INN29768,Venus,11/4/2018,3,0,Buffet Breakfast,2,0,1,3,0,26,Online,0,0,144.5,Arrived
INN01952,Neptune,5/12/2017,2,1,Buffet Breakfast,1,0,2,1,0,12,Offline,0,0,64.0,Arrived
INN22437,Neptune,29/12/2017,2,0,Buffet Breakfast,0,0,0,5,0,140,Offline,0,0,70.0,Arrived
INN21761,Neptune,22/8/2018,2,0,Buffet Breakfast,1,0,1,3,0,101,Offline,0,0,72.25,Arrived
INN33107,Neptune,26/11/2018,2,0,Buffet Breakfast,2,0,1,1,0,44,Online,0,0,98.8,Arrived
INN26809,Neptune,18/3/2018,2,0,Buffet Breakfast,0,0,0,1,0,25,Online,0,0,91.0,Canceled
INN19883,Neptune,8/10/2017,2,0,Buffet Breakfast,2,0,0,2,0,24,Online,0,0,107.0,Arrived
INN06517,Neptune,31/8/2018,2,0,Buffet Breakfast,1,0,0,4,0,15,Online,0,0,139.0,Arrived
INN36050,Neptune,11/10/2017,1,0,Buffet Breakfast,2,0,2,2,0,31,Online,0,0,103.5,Arrived
INN31033,Neptune,28/9/2017,1,0,Buffet Breakfast,1,0,1,2,0,4,Corporate,0,0,95.0,Arrived
